params,mean_test_score,std_test_score,dataset,norm_type,colour
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.3118009051250974,0.008920364754086,stl10,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.3008031046851854,0.0169988523281973,stl10,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.2920011435888092,0.0063512081478428,stl10,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.2679973008999641,0.0143936726545138,stl10,32,6.0
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.2532111824933933,0.043390253784605,stl10,32,6.0
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.1422037321227231,0.0302171083153631,stl10,32,6.0
"OrderedDict({'batch_size': 16, 'epochs': 2, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.0019203485443410593, 'optim__momentum': 0.99})",0.1056022889059643,0.0080962094479518,stl10,32,6.0
"OrderedDict({'batch_size': 4, 'epochs': 20, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.001, 'optim__momentum': 0.8})",0.2576760987357014,0.0078034204676795,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 18, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.01217356274515118, 'optim__momentum': 0.8705674641584338})",0.2554685932169376,0.0081714923024291,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 20, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.0010717218454222796, 'optim__momentum': 0.8170573793978491})",0.2512542644992976,0.0134831041800046,mammals,eq_hist,
