params,mean_test_score,std_test_score,dataset,norm_type,colour,classifier
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.4425982750628746,0.0119578542297758,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.013774730852443505, 'optim__momentum': 0.99})",0.1822148175406935,0.0608002713220621,stl10,32,rgb,split_cnn
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.478202198695915,0.0192702858801353,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.4654042780879598,0.0151570140039739,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.4600043976798877,0.0163766380590759,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0006600482598966163, 'optim__momentum': 0.717628851348587})",0.4593986364791867,0.0049738579374397,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.00024348486664628322, 'optim__momentum': 0.869048886917024})",0.4528022366715132,0.0083540912191276,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 12, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.00178119143707784, 'optim__momentum': 0.6922625068238505})",0.4415987150709113,0.0137517503887296,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.44100411610355,0.0187073134365475,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.4230015941589592,0.0064732318096458,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 20, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.005613821277941953, 'optim__momentum': 0.4417688304729506})",0.4212074751916363,0.0265420181169478,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.2600098227653389,0.0525425738698384,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.2460008598520392,0.0239490306869215,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.2119943358267122,0.0355624836250082,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.1822095364840597,0.0463724177115694,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 22, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.6781795617132446})",0.177584531112985,0.0562099050232392,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.1635874505771114,0.0516542382907579,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.1, 'optim__momentum': 0.7154718400936341})",0.0998000880016073,0.0003111326666035,stl10,32,rgb,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 30, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.00010034976809239691, 'optim__momentum': 0.99})",0.4710079592724912,0.0281445400815402,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 23, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.03712210580130133, 'optim__momentum': 0.4433635845515093})",0.4680033981198958,0.0123683782432,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 21, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.03278076935533807, 'optim__momentum': 0.37215160373403744})",0.467807758976416,0.0281070532482437,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 24, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.039604285348002415, 'optim__momentum': 0.48678768988774807})",0.4534010364793788,0.0055463217417999,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 27, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.004247433106322224, 'optim__momentum': 0.3676936290360493})",0.4463997956711178,0.0012171666960767,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.016944524387171356, 'optim__momentum': 0.7268590983454469})",0.4350060360076844,0.0230899602621583,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 18, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.00017532645124059137, 'optim__momentum': 0.99})",0.4346025152712555,0.0103976322348632,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 29, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.00030785590359397053, 'optim__momentum': 0.7649974872865359})",0.4289987140627097,0.0058450864452916,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 16, 'epochs': 30, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.0006898597336625877, 'optim__momentum': 0.8413107156018608})",0.4044007525025607,0.0092090801184046,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 7, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.0014603325923952556, 'optim__momentum': 0.0})",0.2670047023008363,0.0339779948765591,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 21, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.08743167287239448, 'optim__momentum': 0.12678796975105544})",0.2438169028859294,0.1024918086550532,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 17, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.000525648155412293, 'optim__momentum': 0.1313821189598853})",0.235799418747703,0.0292154653538331,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 9, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0005765154025647296, 'optim__momentum': 0.015746879498767036})",0.2327995385316694,0.0338355581279796,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 8, 'epochs': 4, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 3, 'optim__lr': 0.0010626275611872397, 'optim__momentum': 0.6356538645144051})",0.2164007774675557,0.0229409717265516,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 24, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 7, 'optim__lr': 0.01086841549890779, 'optim__momentum': 0.8375056735432814})",0.2161996172194132,0.0196386852484458,stl10,32,greyscale,classic_cnn
"OrderedDict({'batch_size': 4, 'epochs': 15, 'net__channels': 1, 'net__class_heads': 10, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.7294887173921402})",0.0999999279855913,0.0002546093834725,stl10,32,greyscale,classic_cnn
